Unique_ID,Date_Collected,Treatment,Plot,Plot_ID,Average_Soil_Temp,Wet_sample_weight_analysis,Wet_sample_weight_drying,Dry_soil_weight,Nitrate,Ammonium,grav_water_content,nitrate_calculated,ammonium_calculated
C1_6_28,2022-06-28,Control,1,C1,16.175,5.02,5.66,5.03,86.648,945.367,0.125248509,509.17136,5055.64758
C2_6_28,2022-06-28,Control,2,C2,16.15,5,5.66,5.13,10.01,607.503,0.10331384,71.36276087,3067.745576
C3_6_28,2022-06-28,Control,3,C3,16.2,4.98,5.31,4.93,11.535,285.174,0.077079108,77.90766362,1239.25566
C4_6_28,2022-06-28,Control,4,C4,16.025,4.97,5.41,4.93,4.284,652.401,0.097363083,39.41057581,3316.122431
T1_6_28,2022-06-28,Treatment,1,T1,16.03333333,5.04,5.13,4.31,0.714,1060.703,0.19025522,21.4524776,6146.367612
T2_6_28,2022-06-28,Treatment,2,T2,15.9,5,5.27,4.56,1.057,852.757,0.155701754,22.77038961,4710.50961
T3_6_28,2022-06-28,Treatment,3,T3,15.875,5,5.18,3.55,14.501,314.055,0.45915493,159.8332031,2373.258203
T4_6_28,2022-06-28,Treatment,4,T4,15.9,4.99,5.19,4.43,43.296,1113.067,0.171557562,278.6937909,6384.515284
C1_7_13,2022-07-13,Control,1,C1,17.225,4.99,5.04,3.87,0.769,248.508,0.302325581,25.54291917,1372.768537
C2_7_13,2022-07-13,Control,2,C2,16.525,4.96,5.35,4.43,24.044,616.319,0.207674944,170.6899642,3555.894607
C3_7_13,2022-07-13,Control,3,C3,16.5,5.01,5.35,4.34,0.288,362.473,0.232718894,20.00479521,1984.422356
C4_7_13,2022-07-13,Control,4,C4,17.425,5.02,5.41,4.29,39.726,310.968,0.261072261,286.5274863,1709.338576
T1_7_13,2022-07-13,Treatment,1,T1,16.75,4.98,5.17,4.24,4.765,340.337,0.219339623,48.56998993,1819.815213
T2_7_13,2022-07-13,Treatment,2,T2,17.075,5.03,4.5,3.33,5.314,392.413,0.351351351,62.08043406,2567.434352
T3_7_13,2022-07-13,Treatment,3,T3,17.275,5.01,5.38,3.1,11.164,1162.646,0.735483871,263.2004284,20851.23899
T4_7_13,2022-07-13,Treatment,4,T4,17.1,5.04,4.47,3.86,5.616,228.931,0.158031088,49.51074481,1010.887576
Nitrate_Blank_7_21,2022-07-21,NA,NA,Nitrate,NA,NA,NA,NA,-2.788,NA,NA,NA,NA
Ammonium_Blank_7_21,2022-07-21,NA,NA,Ammonium,NA,NA,NA,NA,NA,57.342,NA,NA,NA
T1_7_19,2022-07-19,Treatment,1,T1,20.375,5.05,5.13,4.18,43.297,1369.71,0.227272727,268.9650553,8775.078626
T2_7_19,2022-07-19,Treatment,2,T2,19.7,4.98,5.03,4.06,14.604,717.43,0.238916256,87.66035014,4732.141836
T3_7_19,2022-07-19,Treatment,3,T3,19.825,5.04,5.3,3.71,8.509,676.765,0.428571429,62.45659722,5874.696181
T4_7_19,2022-07-19,Treatment,4,T4,20.05,5.05,5.1,4.59,14.335,704.225,0.111111111,72.51794554,3922.045173
C1_7_19,2022-07-19,Control,1,C1,19.475,4.96,4.47,4.06,21.16,382.065,0.100985222,111.2665157,2142.045819
C2_7_19,2022-07-19,Control,2,C2,19.375,4.95,5.12,4.22,25.987,265.395,0.213270142,158.3912316,1703.734483
C3_7_19,2022-07-19,Control,3,C3,19.25,5.03,5.35,4.56,4.335,982.095,0.173245614,18.1612711,5904.03626
C4_7_19,2022-07-19,Control,4,C4,20.725,5.03,5.03,4.15,5.142,772.24,0.212048193,24.14594999,4871.073255
T1_7_25,2022-07-25,Treatment,1,T1,17.45,5.04,5.43,4.69,0.456,283.295,0.157782516,-5.053270042,1668.492001
T2_7_25,2022-07-25,Treatment,2,T2,17.35,4.95,6.61,5.87,0,573.835,0.126064736,-7.593655857,3316.214238
T3_7_25,2022-07-25,Treatment,3,T3,17.35,4.99,4.26,2.9,10.353,1441.65,0.468965517,85.27802358,13601.17963
T4_7_25,2022-07-25,Treatment,4,T4,17.25,5.04,5.56,5.01,0.238,219.63,0.109780439,-5.995489003,1223.781831
C1_7_25,2022-07-25,Control,1,C1,17.5,4.98,4.68,4.22,18.599,170.125,0.109004739,97.38782257,958.5249242
C2_7_25,2022-07-25,Control,2,C2,17.425,5.06,5.88,5.32,3.644,869.725,0.105263158,12.86619391,4802.59678
C3_7_25,2022-07-25,Control,3,C3,17.225,4.95,6.24,5.66,1.506,273.185,0.102473498,1.080410403,1537.249563
C4_7_25,2022-07-25,Control,4,C4,17.325,4.96,6.68,5.86,0.392,499.475,0.139931741,-5.403265809,2927.110835
Nitrate_Blank_8_02,2022-08-02,NA,NA,Nitrate,NA,NA,NA,NA,1.314,NA,NA,NA,NA
Ammonium_Blank_8_02,2022-08-02,NA,NA,Ammonium,NA,NA,NA,NA,NA,0,NA,NA,NA
