Sample_Name,Date,Core_type,Treatment_type,Plot_ID,Tree_type,NSC
C1FR,2022-07-13,R,Control,1,F,20.09815706
C1FB,2022-07-13,B,Control,1,F,27.95307526
C4FB,2022-07-13,B,Control,4,F,22.33343215
C2FR,2022-07-13,R,Control,2,F,12.09254904
C4FR,2022-07-13,R,Control,4,F,18.17972161
C2FB,2022-07-13,B,Control,2,F,21.44002445
C3FB,2022-07-13,B,Control,3,F,14.8811059
C3FR,2022-07-13,R,Control,3,F,14.54143792
T4NB,2022-07-13,B,Treatment,4,N,21.93014733
T4NR,2022-07-13,R,Treatment,4,N,25.45304857
T4FB,2022-07-13,B,Treatment,4,F,22.9714186
T4FR,2022-07-13,R,Treatment,4,F,16.75546862
T3NB,2022-07-13,B,Treatment,3,N,20.16643332
T3FB,2022-07-13,B,Treatment,3,F,25.42326859
T3NR,2022-07-13,R,Treatment,3,N,11.35753612
T3FR,2022-07-13,R,Treatment,3,F,48.06518314
T2FR,2022-07-13,R,Treatment,2,F,15.26494083
T2NR,2022-07-13,R,Treatment,2,N,12.53099239
T2FB,2022-07-13,B,Treatment,2,F,29.43982957
T2NB,2022-07-13,B,Treatment,2,N,25.6750797
T1NB,2022-07-13,B,Treatment,1,N,22.19225536
T1NR,2022-07-13,R,Treatment,1,N,10.2066306
T1FB,2022-07-13,B,Treatment,1,F,19.24444318
T1FR,2022-07-13,R,Treatment,1,F,12.8162557
T4NB,2022-07-19,B,Treatment,4,N,21.60411834
T4FB,2022-07-19,B,Treatment,4,F,19.0408162
T2NB,2022-07-19,B,Treatment,2,N,24.5748015
T4NR,2022-07-19,R,Treatment,4,N,30.66146259
T4FR,2022-07-19,R,Treatment,4,F,15.62160902
T3FR,2022-07-19,R,Treatment,3,F,22.07428608
T2FR,2022-07-19,R,Treatment,2,F,6.374146207
T2FB,2022-07-19,B,Treatment,2,F,22.05354482
T2NR,2022-07-19,R,Treatment,2,N,13.39108287
T3NR,2022-07-19,R,Treatment,3,N,11.79390211
T3NB,2022-07-19,B,Treatment,3,N,19.45930839
T3FB,2022-07-19,B,Treatment,3,F,21.43705414
T1NB,2022-07-19,B,Treatment,1,N,9.128833244
T1FR,2022-07-19,R,Treatment,1,F,9.787343601
T1NR,2022-07-19,R,Treatment,1,N,16.09535962
T1FB,2022-07-19,B,Treatment,1,F,16.21360095
C4FR,2022-07-19,R,Control,4,F,12.51262005
C3FB,2022-07-19,B,Control,3,F,18.51502918
C4FB,2022-07-19,B,Control,4,F,19.71363656
C2FR,2022-07-19,R,Control,2,F,18.13283186
C3FR,2022-07-19,R,Control,3,F,8.870738733
C2FB,2022-07-19,B,Control,2,F,6.53668202
C1FB,2022-07-19,B,Control,1,F,34.63131711
C1FR,2022-07-19,R,Control,1,F,19.00189066
T4FB,2022-07-25,B,Treatment,4,F,20.29291331
T3NB,2022-07-25,B,Treatment,3,N,22.37165903
T4NR,2022-07-25,R,Treatment,4,N,29.25995535
T3FB,2022-07-25,B,Treatment,3,F,29.88621079
T4FR,2022-07-25,R,Treatment,4,F,14.61932934
C4FR,2022-07-25,R,Control,4,F,20.62487675
T4NB,2022-07-25,B,Treatment,4,N,23.93706417
T3NR,2022-07-25,R,Treatment,3,N,12.93526483
T2FR,2022-07-25,R,Treatment,2,F,9.824657422
T2NB,2022-07-25,B,Treatment,2,N,24.02216062
T3FR,2022-07-25,R,Treatment,3,F,23.33681004
T1FB,2022-07-25,B,Treatment,1,F,20.40823441
T1FR,2022-07-25,R,Treatment,1,F,11.72450679
T1NB,2022-07-25,B,Treatment,1,N,22.09712262
T1NR,2022-07-25,R,Treatment,1,N,10.24162109
C4FB,2022-07-25,B,Control,4,F,22.58314777
C3FB,2022-07-25,B,Control,3,F,21.23247249
C3FR,2022-07-25,R,Control,3,F,10.93506833
C2FR,2022-07-25,R,Control,2,F,12.67321367
C2FB,2022-07-25,B,Control,2,F,30.19846531
C1FR,2022-07-25,R,Control,1,F,19.79064839
C1FB,2022-07-25,B,Control,1,F,18.16269502
T2NR,2022-07-25,R,Treatment,2,N,10.36037233
T2FB,2022-07-25,B,Treatment,2,F,24.89659038
