Plot_ID,Type,Plot_Haglof,Plot_Radius,Tree_Nr,Tree_Spc,Strata,Tree_Dia,Tree_PosTex1,Tree_PosTex2,Tree_PosTex3,Tree_Local_x,Tree_Local_y,Tree_Local_Dist,Tree_Local_Angle,Tree_Angle_ToPlotCenter,Latitude,Longitude,,,,,,,,,
T1,Treatment,502,7.6,1,QURU,Can,330,22,199,211,-0.74,-0.88,1.15,220.06,-1,45.558308,-84.6962154,,,,,,,,,
T1,Treatment,502,7.6,2,PIST,Sub,31,70,259,232,-1.7,-0.48,1.77,254.32,-5,45.5583119,-84.6962276,,,,,,,,,
T1,Treatment,502,7.6,3,PIST,Sub,8,252,436,353,-3.44,0.14,3.44,272.32,-5,45.5583179,-84.6962495,,,,,,,,,
T1,Treatment,502,7.6,4,PIST,Sub,8,345,528,433,-4.31,0.44,4.34,275.8,-5,45.5583208,-84.6962606,,,,,,,,,
T1,Treatment,502,7.6,5,PIST,Sub,39,211,385,277,-2.75,0.6,2.82,282.38,-8,45.5583219,-84.6962406,,,,,,,,,
T1,Treatment,502,7.6,6,PIST,Sub,17,378,543,400,-4,1.77,4.38,293.9,-8,45.5583327,-84.6962562,,,,,,,,,
T1,Treatment,502,7.6,7,PIRE,Can,144,463,634,497,-4.92,1.78,5.23,289.88,-6,45.558333,-84.696268,,,,,,,,,
T1,Treatment,502,7.6,8,PIST,Sub,13,502,668,520,-5.12,2.35,5.63,294.63,-8,45.5583382,-84.6962703,,,,,,,,,
T1,Treatment,502,7.6,9,ACRU,Sub,45,477,621,445,-4.04,3.14,5.11,307.86,-2,45.558345,-84.6962561,,,,,,,,,
T1,Treatment,502,7.6,10,PIST,Sub,19,541,662,470,-3.68,4.17,5.56,318.56,-4,45.5583542,-84.6962512,,,,,,,,,
T1,Treatment,502,7.6,11,PIST,Sub,60,512,631,438,-3.43,3.97,5.24,319.17,-2,45.5583523,-84.696248,,,,,,,,,
T1,Treatment,502,7.6,12,PIST,Sub,49,424,432,248,-0.24,3.64,3.64,356.24,-5,45.5583485,-84.6962073,,,,,,,,,
T1,Treatment,502,7.6,13,PIST,Sub,70,287,318,120,-0.53,2.26,2.32,346.91,-7,45.5583362,-84.6962115,,,,,,,,,
T1,Treatment,502,7.6,14,PIST,Sub,31,176,257,79,-0.86,1.21,1.48,324.6,-4,45.5583268,-84.6962161,,,,,,,,,
T1,Treatment,502,7.6,15,POGR,Can,288,455,412,269,0.94,3.55,3.67,14.79,-4,45.5583474,-84.6961923,,,,,,,,,
T1,Treatment,502,7.6,16,PIST,Sub,54,478,380,305,2.43,2.98,3.84,39.22,-5,45.5583419,-84.6961734,,,,,,,,,
T1,Treatment,502,7.6,17,PIST,Sub,39,373,273,212,1.94,2.03,2.81,43.7,-1,45.5583335,-84.69618,,,,,,,,,
T1,Treatment,502,7.6,18,PIST,Sub,15,433,305,286,2.75,1.97,3.38,54.38,-2,45.5583327,-84.6961697,,,,,,,,,
T1,Treatment,502,7.6,19,PIST,Sub,38,538,404,387,3.6,2.54,4.41,54.79,-1,45.5583377,-84.6961586,,,,,,,,,
