Label ,Type,Plot,Location,Date collected,Operator,Analysis Date Time,Dry_root_weight_g_measured,Dry_root_adjusted_g,Tin_weight_g,Pre_burn_g,Post_burn_g_with_tin,Bost_burn_g_no_tin,percent_root,ImageFileName,ImageAcqDeviceAndSoftwareInfo DateTimeModified,AnalysedRegionArea(cm2),AnalysedRegionWidth(cm),AnalysedRegionHeight(cm),Left Top Right Bottom  NExclusions,DevOrder Criteria,ImgType CalibMeth TPU Units PxSizeH PxSizeV [CalFile],PxClassif,Filters,Fractal PxMin PxMax,SoilVol(m3),Length(cm),LengthTen(cm)/RatioHypLeafToRootLen,ProjArea(cm2),ProjAreaTen(cm2)/RatioHypLeafToRootArea,SurfArea(cm2),SurfAreaTen(cm2),AvgDiam(mm),AvgDiamTen(mm),LenPerVol(cm/m3),LenPerVolTen(cm/m3),RootVolume(cm3),FractalDimension,FractalDeviation,Tips,Forks,Crossings,NofLinks,Altitude,ExternalPathLength,LinkAvgLength(cm),LinkAvgProjArea(cm2),LinkAvgSurfArea(cm2),LinkAvgDiam(mm),LinkAvgBrAngle(deg),NofNodules,HypocotylLeafArea,HypocotylLeafLength,NAxis,Main NAxis,Main TotLength,Lateral NAxis,Lateral TotLength,Tertiary NAxis,Tertiary TotLength,NSeedlings,NumberOfClasses,ClassBoundaries,0<.L.<=0.5000000,0.5000000<.L.<=1.0000000,1.0000000<.L.<=1.5000000,1.5000000<.L.<=2.0000000,2.0000000<.L.<=2.5000000,2.5000000<.L.<=3.0000000,3.0000000<.L.<=3.5000000,3.5000000<.L.<=4.0000000,4.0000000<.L.<=4.5000000,.L.>4.5000000,0<.SA.<=0.5000000,0.5000000<.SA.<=1.0000000,1.0000000<.SA.<=1.5000000,1.5000000<.SA.<=2.0000000,2.0000000<.SA.<=2.5000000,2.5000000<.SA.<=3.0000000,3.0000000<.SA.<=3.5000000,3.5000000<.SA.<=4.0000000,4.0000000<.SA.<=4.5000000,.SA.>4.5000000,0<.PA.<=0.5000000,0.5000000<.PA.<=1.0000000,1.0000000<.PA.<=1.5000000,1.5000000<.PA.<=2.0000000,2.0000000<.PA.<=2.5000000,2.5000000<.PA.<=3.0000000,3.0000000<.PA.<=3.5000000,3.5000000<.PA.<=4.0000000,4.0000000<.PA.<=4.5000000,.PA.>4.5000000,0<.V.<=0.5000000,0.5000000<.V.<=1.0000000,1.0000000<.V.<=1.5000000,1.5000000<.V.<=2.0000000,2.0000000<.V.<=2.5000000,2.5000000<.V.<=3.0000000,3.0000000<.V.<=3.5000000,3.5000000<.V.<=4.0000000,4.0000000<.V.<=4.5000000,.V.>4.5000000,0<.T.<=0.5000000,0.5000000<.T.<=1.0000000,1.0000000<.T.<=1.5000000,1.5000000<.T.<=2.0000000,2.0000000<.T.<=2.5000000,2.5000000<.T.<=3.0000000,3.0000000<.T.<=3.5000000,3.5000000<.T.<=4.0000000,4.0000000<.T.<=4.5000000,.T.>4.5000000,Column1
SampleId,,,,,COLOR,Name,,,,,,,,OwnerGroup,Specifications/NClass,Def Filt/Bg,Length(cm),ProjArea(cm2),SurfArea(cm2),AvgDiam(mm),Volume(cm3),Tips,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SampleId,,,,,LINK,Link#,,,,,,,,Seedling#,,Length(cm),ProjArea(cm2),SurfArea(cm2),AvgDiam(mm),EE-EI-II-IL-BL,Angle(deg),Magnitude,Altitude,Order,Father,Brother1,Brother2,Baby1,Baby2,Baby3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SampleId,,,,,DEV,Order#,,,,,,,,Seedling#,NofLinks,TotalLength(cm),TotalProjArea(cm2),TotSurfArea(cm2),AvgLength(cm),AvgProjArea(cm2),AvgSurfArea(cm2),AvgDiam(mm),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SampleId,,,,,AXIS,Order#,,,,,,,,Seedling#,Axis#,TotalLength(cm),TotalProjArea(cm2),TotSurfArea(cm2),AvgLength(cm),AvgProjArea(cm2),AvgSurfArea(cm2),AvgDiam(mm),,,,,,,,,NofLinks,FirstLink#,SecondLink#,ThirdLink#,...,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T3_3,Treatment,3,3,2022-06-26,KM,6/27/22 15:46,0.735,0.716625,,,,,,ScannerOrCamera,EPSON EPSON Scan 2 EPSON Expression 12000XL 2.2 V6.2 6.2.2.13428 ,214.3041,13.9371,15.3765,320 928 2512 3352  0,MAG ANG DIAM LEN,Grey Intr cm 0.006358 0.006343 Scanner.Cal,GreyThdAutom-140,Smooth Off Area Off LWRatio Off,Off,3.14,744.1294,0,38.4362,0,120.7508,0,0.5165,0,236.9839,0,1.559,,,1499,5150,640,,,,,,,,,0,,,,,,,,,,,10,0.0000000 0.5000000 1.0000000 1.5000000 2.0000000 2.5000000 3.0000000 3.5000000 4.0000000 4.5000000 ,510.7122,177.8815,34.7821,11.8253,3.7875,1.7056,2.1181,0.6358,0.4072,0.0555,37.2914,38.661,13.1932,6.3512,2.7129,1.4101,2.1326,0.7285,0.5193,0.0837,11.8702,12.3062,4.1995,2.0216,0.8635,0.4489,0.6788,0.2319,0.1653,0.0267,0.2681,0.6951,0.4033,0.2736,0.1552,0.0929,0.1711,0.0665,0.0527,0.01,1438,52,9,0,0,0,0,0,0,0,
T4_1,Treatment,4,1,2022-06-26,KM,6/27/22 15:49,0.521,0.507975,,,,,,ScannerOrCamera,,178.6358,12.0551,14.8183,480 1168 2376 3504  0,MAG ANG DIAM LEN,Grey Intr cm 0.006358 0.006343 Scanner.Cal,GreyThdAutom-143,Smooth Off Area Off LWRatio Off,Off,3.14,834.4641,0,38.0828,0,119.6407,0,0.4564,0,265.7529,0,1.365,,,1652,6453,1000,,,,,,,,,0,,,,,,,,,,,10,0.0000000 0.5000000 1.0000000 1.5000000 2.0000000 2.5000000 3.0000000 3.5000000 4.0000000 4.5000000 ,617.2483,162.5041,40.2366,10.085,2.8448,0.8328,0.278,0.102,0.0137,0,44.6027,34.3346,15.118,5.3628,1.9937,0.7106,0.2711,0.1165,0.0176,0,14.1975,10.929,4.8122,1.707,0.6346,0.2262,0.0863,0.0371,0.0056,0,0.3151,0.6021,0.4572,0.2284,0.1117,0.0484,0.0211,0.0106,0.0018,0,1614,33,5,0,0,0,0,0,0,0,
T4_2,Treatment,4,2,2022-06-26,KM,6/27/22 15:52,0.508,0.4953,1.763,0.129,1.765,0.002,0.984496124,ScannerOrCamera,EPSON EPSON Scan 2 EPSON Expression 12000XL 2.2 V6.2 6.2.2.13428 ,155.2905,13.0215,11.9257,392 1208 2440 3088  0,MAG ANG DIAM LEN,Grey Intr cm 0.006358 0.006343 Scanner.Cal,GreyThdAutom-140,Smooth Off Area Off LWRatio Off,Off,3.14,720.5712,0,32.9424,0,103.4916,0,0.4572,0,229.4813,0,1.183,,,1169,5405,843,,,,,,,,,0,,,,,,,,,,,10,0.0000000 0.5000000 1.0000000 1.5000000 2.0000000 2.5000000 3.0000000 3.5000000 4.0000000 4.5000000 ,535.7841,142.116,30.8162,7.6096,2.6553,0.9242,0.2517,0.2432,0.0137,0,39.1166,30.7411,11.4462,4.0292,1.8669,0.7901,0.2439,0.2824,0.0181,0,12.4512,9.7852,3.6434,1.2825,0.5943,0.2515,0.0776,0.0899,0.0057,0,0.2798,0.5513,0.3427,0.1708,0.1049,0.0538,0.0188,0.0261,0.0019,0,1132,32,5,0,0,0,0,0,0,0,
C2_1,Control,2,1,2022-06-26,KM,6/27/22 15:54,1.104,1.0764,,,,,,ScannerOrCamera,EPSON EPSON Scan 2 EPSON Expression 12000XL 2.2 V6.2 6.2.2.13428 ,317.8449,16.2261,19.5885,72 808 2624 3896  0,MAG ANG DIAM LEN,Grey Intr cm 0.006358 0.006343 Scanner.Cal,GreyThdAutom-139,Smooth Off Area Off LWRatio Off,Off,3.14,1398.0702,0,73.0165,0,229.3881,0,0.5223,0,445.2453,0,2.995,,,2783,11089,1353,,,,,,,,,0,,,,,,,,,,,10,0.0000000 0.5000000 1.0000000 1.5000000 2.0000000 2.5000000 3.0000000 3.5000000 4.0000000 4.5000000 ,962.4962,315.9088,74.2915,27.4639,9.6243,4.3495,1.6591,0.6359,0.0213,0.8964,71.5393,67.9472,27.973,14.7413,6.7283,3.7868,1.6685,0.7467,0.0489,1.3718,22.7717,21.6283,8.9041,4.6923,2.1417,1.2054,0.5311,0.2377,0.0156,0.4367,0.5183,1.2141,0.8484,0.6342,0.3759,0.263,0.1338,0.0697,0.0074,0.1675,2646,123,9,4,1,0,0,0,0,0,
T3_2,Treatment,3,2,2022-06-26,KM,6/27/22 15:57,1.313,1.280175,1.77,0.145,1.772,0.002,0.986206897,ScannerOrCamera,EPSON EPSON Scan 2 EPSON Expression 12000XL 2.2 V6.2 6.2.2.13428 ,333.148,15.0053,22.202,250 560 2610 4060  0,MAG ANG DIAM LEN,Grey Intr cm 0.006358 0.006343 Scanner.Cal,GreyThdAutom-140,Smooth Off Area Off LWRatio Off,Off,3.14,1216.2558,0,68.6976,0,215.8199,0,0.5648,0,387.3426,0,3.048,,,2540,8192,841,,,,,,,,,0,,,,,,,,,,,10,0.0000000 0.5000000 1.0000000 1.5000000 2.0000000 2.5000000 3.0000000 3.5000000 4.0000000 4.5000000 ,792.5329,310.822,67.6122,23.9182,10.1374,6.3327,3.0108,1.1736,0.3954,0.0587,60.9229,67.1823,25.2382,12.8538,7.1262,5.4235,3.0131,1.3547,0.5146,0.0837,19.3924,21.3848,8.0336,4.0915,2.2683,1.7264,0.9591,0.4312,0.1638,0.0266,0.4553,1.2066,0.7592,0.5539,0.4,0.3705,0.2404,0.1246,0.0533,0.0095,2409,113,17,1,0,0,0,0,0,0,
C2_3,Control,2,3,2022-06-26,KM,6/27/22 15:59,0.7,0.6825,,,,,,ScannerOrCamera,,276.162,14.5602,18.9669,370 670 2660 3660  0,MAG ANG DIAM LEN,Grey Intr cm 0.006358 0.006343 Scanner.Cal,GreyThdAutom-142,Smooth Off Area Off LWRatio Off,Off,3.14,1058.2832,0,49.6031,0,155.8327,0,0.4687,0,337.0329,0,1.826,,,2190,7432,1068,,,,,,,,,0,,,,,,,,,,,10,0.0000000 0.5000000 1.0000000 1.5000000 2.0000000 2.5000000 3.0000000 3.5000000 4.0000000 4.5000000 ,786.4423,213.8884,40.0468,12.4118,2.8493,1.5711,0.5722,0.2328,0,0,58.9953,45.6928,15.0735,6.6034,1.9295,1.34,0.5759,0.2864,0,0,18.7788,14.5445,4.7981,2.1019,0.6142,0.4265,0.1833,0.0912,0,0,0.4262,0.8091,0.4569,0.2815,0.1042,0.0913,0.0462,0.0281,0,0,2110,73,7,0,0,0,0,0,0,0,
