RHIZO 2017a,Operator,Analysis Date Time,Dry_root_weight_g_measured,Tin_weight_g,Pre_burn_g,Post_burn_g_with_tin,Bost_burn_g_no_tin,percent_root,ImageFileName,ImageAcqDeviceAndSoftwareInfo DateTimeModified,AnalysedRegionArea(cm2),AnalysedRegionWidth(cm),AnalysedRegionHeight(cm),Left Top Right Bottom  NExclusions,DevOrder Criteria,ImgType CalibMeth TPU Units PxSizeH PxSizeV [CalFile],PxClassif,Filters,Fractal PxMin PxMax,SoilVol(m3),Length(cm),LengthTen(cm)/RatioHypLeafToRootLen,ProjArea(cm2),ProjAreaTen(cm2)/RatioHypLeafToRootArea,SurfArea(cm2),SurfAreaTen(cm2),AvgDiam(mm),AvgDiamTen(mm),LenPerVol(cm/m3),LenPerVolTen(cm/m3),RootVolume(cm3),FractalDimension,FractalDeviation,Tips,Forks,Crossings,NofLinks,Altitude,ExternalPathLength,LinkAvgLength(cm),LinkAvgProjArea(cm2),LinkAvgSurfArea(cm2),LinkAvgDiam(mm),LinkAvgBrAngle(deg),NofNodules,HypocotylLeafArea,HypocotylLeafLength,NAxis,Main NAxis,Main TotLength,Lateral NAxis,Lateral TotLength,Tertiary NAxis,Tertiary TotLength,NSeedlings,NumberOfClasses,ClassBoundaries,0<.L.<=0.5000000,0.5000000<.L.<=1.0000000,1.0000000<.L.<=1.5000000,1.5000000<.L.<=2.0000000,2.0000000<.L.<=2.5000000,2.5000000<.L.<=3.0000000,3.0000000<.L.<=3.5000000,3.5000000<.L.<=4.0000000,4.0000000<.L.<=4.5000000,.L.>4.5000000,0<.SA.<=0.5000000,0.5000000<.SA.<=1.0000000,1.0000000<.SA.<=1.5000000,1.5000000<.SA.<=2.0000000,2.0000000<.SA.<=2.5000000,2.5000000<.SA.<=3.0000000,3.0000000<.SA.<=3.5000000,3.5000000<.SA.<=4.0000000,4.0000000<.SA.<=4.5000000,.SA.>4.5000000,0<.PA.<=0.5000000,0.5000000<.PA.<=1.0000000,1.0000000<.PA.<=1.5000000,1.5000000<.PA.<=2.0000000,2.0000000<.PA.<=2.5000000,2.5000000<.PA.<=3.0000000,3.0000000<.PA.<=3.5000000,3.5000000<.PA.<=4.0000000,4.0000000<.PA.<=4.5000000,.PA.>4.5000000,0<.V.<=0.5000000,0.5000000<.V.<=1.0000000,1.0000000<.V.<=1.5000000,1.5000000<.V.<=2.0000000,2.0000000<.V.<=2.5000000,2.5000000<.V.<=3.0000000,3.0000000<.V.<=3.5000000,3.5000000<.V.<=4.0000000,4.0000000<.V.<=4.5000000,.V.>4.5000000,0<.T.<=0.5000000,0.5000000<.T.<=1.0000000,1.0000000<.T.<=1.5000000,1.5000000<.T.<=2.0000000,2.0000000<.T.<=2.5000000,2.5000000<.T.<=3.0000000,3.0000000<.T.<=3.5000000,3.5000000<.T.<=4.0000000,4.0000000<.T.<=4.5000000,.T.>4.5000000,Column1
SampleId,COLOR,Name,,,,,,,OwnerGroup,Specifications/NClass,Def Filt/Bg,Length(cm),ProjArea(cm2),SurfArea(cm2),AvgDiam(mm),Volume(cm3),Tips,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SampleId,LINK,Link#,,,,,,,Seedling#,,Length(cm),ProjArea(cm2),SurfArea(cm2),AvgDiam(mm),EE-EI-II-IL-BL,Angle(deg),Magnitude,Altitude,Order,Father,Brother1,Brother2,Baby1,Baby2,Baby3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SampleId,DEV,Order#,,,,,,,Seedling#,NofLinks,TotalLength(cm),TotalProjArea(cm2),TotSurfArea(cm2),AvgLength(cm),AvgProjArea(cm2),AvgSurfArea(cm2),AvgDiam(mm),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SampleId,AXIS,Order#,,,,,,,Seedling#,Axis#,TotalLength(cm),TotalProjArea(cm2),TotSurfArea(cm2),AvgLength(cm),AvgProjArea(cm2),AvgSurfArea(cm2),AvgDiam(mm),,,,,,,,,NofLinks,FirstLink#,SecondLink#,ThirdLink#,...,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T4_2,KM,7/15/2022 15:54:33,0.883,,,,,,ScannerOrCamera,EPSON EPSON Scan 2 EPSON Expression 12000XL 2.2 V6.2 6.2.2.13428,289.6613,15.3232,18.9034,270 680 2680 3660  0,MAG ANG DIAM LEN,Grey Intr cm 0.006358 0.006343 Scanner.Cal,GreyThdAutom-139,Smooth Off Area Off LWRatio Off,Off,3.14,991.9837,0,50.6917,0,159.2526,0,0.511,0,315.9184,0,2.035,,,2314,7387,793,,,,,,,,,0,,,,,,,,,,,10,0.0000000 0.5000000 1.0000000 1.5000000 2.0000000 2.5000000 3.0000000 3.5000000 4.0000000 4.5000000,695.8397,206.9393,58.084,18.3978,7.5717,2.0509,1.7726,0.614,0.2517,0.1681,49.0418,45.2273,21.9099,9.8173,5.2928,1.7154,1.8038,0.7227,0.33,0.253,15.6105,14.3963,6.9741,3.1249,1.6847,0.546,0.5742,0.2301,0.105,0.0805,0.3434,0.8192,0.6655,0.4201,0.2957,0.1145,0.1465,0.0678,0.0345,0.0303,2232,68,8,6,0,0,0,0,0,0,
T3_4,KM,7/15/2022 16:08:37,1.755,,,,,,ScannerOrCamera,EPSON EPSON Scan 2 EPSON Expression 12000XL 2.2 V6.2 6.2.2.13428,352.9433,16.6584,21.1871,190 570 2810 3910  0,MAG ANG DIAM LEN,Grey Intr cm 0.006358 0.006343 Scanner.Cal,GreyThdAutom-137,Smooth Off Area Off LWRatio Off,Off,3.14,1241.0949,0,74.3115,0,233.4566,0,0.5988,0,395.2532,0,3.495,,,3459,10352,1049,,,,,,,,,0,,,,,,,,,,,10,0.0000000 0.5000000 1.0000000 1.5000000 2.0000000 2.5000000 3.0000000 3.5000000 4.0000000 4.5000000,826.2461,257.2127,84.5011,36.7421,16.3117,8.088,5.8782,1.9352,0.966,2.7332,56.4549,55.987,32.2424,19.7284,11.5122,6.9736,5.943,2.2362,1.2364,4.7722,17.9702,17.8212,10.2631,6.2798,3.6644,2.2198,1.8917,0.7118,0.3936,1.519,0.396,1.013,0.992,0.8491,0.6491,0.4794,0.4792,0.2059,0.1259,0.6871,3297,121,29,6,3,1,1,1,0,0,
C1_3,KM,7/15/2022 16:10:50,0.676,,,,,,ScannerOrCamera,EPSON EPSON Scan 2 EPSON Expression 12000XL 2.2 V6.2 6.2.2.13428,149.481,11.0632,13.5115,480 1010 2220 3140  0,MAG ANG DIAM LEN,Grey Intr cm 0.006358 0.006343 Scanner.Cal,GreyThdAutom-139,Smooth Off Area Off LWRatio Off,Off,3.14,952.552,0,43.9251,0,137.9948,0,0.4611,0,303.3605,0,1.591,,,2125,8173,1321,,,,,,,,,0,,,,,,,,,,,10,0.0000000 0.5000000 1.0000000 1.5000000 2.0000000 2.5000000 3.0000000 3.5000000 4.0000000 4.5000000,721.9443,160.9687,39.8769,16.9837,6.8074,1.8545,1.8391,0.3962,0.7899,0.1677,47.6272,34.1369,15.3297,9.0489,4.7443,1.6143,1.8252,0.4743,1.0323,0.2471,15.1602,10.8661,4.8796,2.8803,1.5102,0.5139,0.581,0.151,0.3286,0.0786,0.3235,0.6014,0.4746,0.3862,0.2642,0.1122,0.1444,0.0453,0.1074,0.029,2062,53,7,1,0,1,1,0,0,0,
T3_2,KM,7/15/2022 16:14:28,1.794,1.763,0.354,1.776,0.013,0.9632768362,ScannerOrCamera,EPSON EPSON Scan 2 EPSON Expression 12000XL 2.2 V6.2 6.2.2.13428,329.4052,15.6411,21.0602,220 540 2680 3860  0,MAG ANG DIAM LEN,Grey Intr cm 0.006358 0.006343 Scanner.Cal,GreyThdAutom-136,Smooth Off Area Off LWRatio Off,Off,3.14,1452.8233,0,88.7232,0,278.7323,0,0.6107,0,462.6826,0,4.256,,,3166,13306,1303,,,,,,,,,0,,,,,,,,,,,10,0.0000000 0.5000000 1.0000000 1.5000000 2.0000000 2.5000000 3.0000000 3.5000000 4.0000000 4.5000000,924.2915,338.8084,108.2961,45.5467,18.2783,8.0589,4.974,1.7113,1.4905,0.6546,67.585,74.226,41.2485,24.4326,12.8733,6.8635,5.0011,1.9593,1.9564,1.0358,21.513,23.6269,13.1298,7.7771,4.0977,2.1847,1.5919,0.6237,0.6227,0.3297,0.493,1.3497,1.266,1.0504,0.7247,0.4661,0.4011,0.1787,0.2046,0.1318,3006,136,18,5,1,0,0,0,0,0,
T4_4,KM,7/15/2022 16:17:01,0.651,,,,,,ScannerOrCamera,EPSON EPSON Scan 2 EPSON Expression 12000XL 2.2 V6.2 6.2.2.13428,160.3547,12.2713,13.0675,310 1410 2240 3470  0,MAG ANG DIAM LEN,Grey Intr cm 0.006358 0.006343 Scanner.Cal,GreyThdAutom-140,Smooth Off Area Off LWRatio Off,Off,3.14,680.7418,0,32.6428,0,102.5503,0,0.4795,0,216.7967,0,1.229,,,1179,4580,660,,,,,,,,,0,,,,,,,,,,,10,0.0000000 0.5000000 1.0000000 1.5000000 2.0000000 2.5000000 3.0000000 3.5000000 4.0000000 4.5000000,474.3485,161.5577,34.1877,7.6318,1.4307,0.9601,0.2972,0,0,0,34.6154,34.5179,12.8594,4.08,0.9666,0.7944,0.2897,0,0,0,11.0184,10.9874,4.0933,1.2987,0.3077,0.2529,0.0922,0,0,0,0.2484,0.6123,0.3896,0.1749,0.0522,0.0524,0.0225,0,0,0,1127,43,6,2,0,1,0,0,0,0,
C4_2,KM,7/15/2022 16:20:47,1.68,1.757,0.147,1.76,0.003,0.9795918367,ScannerOrCamera,EPSON EPSON Scan 2 EPSON Expression 12000XL 2.2 V6.2 6.2.2.13428,347.9259,16.722,20.8065,150 410 2780 3690  0,MAG ANG DIAM LEN,Grey Intr cm 0.006358 0.006343 Scanner.Cal,GreyThdAutom-136,Smooth Off Area Off LWRatio Off,Off,3.14,1213.3471,0,73.2164,0,230.016,0,0.6034,0,386.4163,0,3.47,,,2303,8472,776,,,,,,,,,0,,,,,,,,,,,10,0.0000000 0.5000000 1.0000000 1.5000000 2.0000000 2.5000000 3.0000000 3.5000000 4.0000000 4.5000000,773.476,290.2317,84.8009,38.2156,14.3551,4.7452,3.7868,2.074,0.6964,0.2798,59.3952,62.5778,32.4801,20.3054,10.0339,4.0971,3.8435,2.4105,0.9411,0.4561,18.9061,19.9191,10.3387,6.4634,3.1939,1.3041,1.2234,0.7673,0.2996,0.1452,0.4412,1.1208,1.0032,0.865,0.5606,0.2822,0.3111,0.2232,0.1013,0.0601,2119,145,25,10,2,1,1,0,0,0,
