RHIZO 2017a,Operator,Analysis Date Time,Dry_root_weight_g_measured,Dry_root_adjusted_g,Tin_weight_g,Pre_burn_g,Post_burn_g_with_tin,Bost_burn_g_no_tin,percent_root,ImageFileName,ImageAcqDeviceAndSoftwareInfo DateTimeModified,AnalysedRegionArea(cm2),AnalysedRegionWidth(cm),AnalysedRegionHeight(cm),Left Top Right Bottom  NExclusions,DevOrder Criteria,ImgType CalibMeth TPU Units PxSizeH PxSizeV [CalFile],PxClassif,Filters,Fractal PxMin PxMax,SoilVol(m3),Length(cm),LengthTen(cm)/RatioHypLeafToRootLen,ProjArea(cm2),ProjAreaTen(cm2)/RatioHypLeafToRootArea,SurfArea(cm2),SurfAreaTen(cm2),AvgDiam(mm),AvgDiamTen(mm),LenPerVol(cm/m3),LenPerVolTen(cm/m3),RootVolume(cm3),FractalDimension,FractalDeviation,Tips,Forks,Crossings,NofLinks,Altitude,ExternalPathLength,LinkAvgLength(cm),LinkAvgProjArea(cm2),LinkAvgSurfArea(cm2),LinkAvgDiam(mm),LinkAvgBrAngle(deg),NofNodules,HypocotylLeafArea,HypocotylLeafLength,NAxis,Main NAxis,Main TotLength,Lateral NAxis,Lateral TotLength,Tertiary NAxis,Tertiary TotLength,NSeedlings,NumberOfClasses,ClassBoundaries,0<.L.<=0.5000000,0.5000000<.L.<=1.0000000,1.0000000<.L.<=1.5000000,1.5000000<.L.<=2.0000000,2.0000000<.L.<=2.5000000,2.5000000<.L.<=3.0000000,3.0000000<.L.<=3.5000000,3.5000000<.L.<=4.0000000,4.0000000<.L.<=4.5000000,.L.>4.5000000,0<.SA.<=0.5000000,0.5000000<.SA.<=1.0000000,1.0000000<.SA.<=1.5000000,1.5000000<.SA.<=2.0000000,2.0000000<.SA.<=2.5000000,2.5000000<.SA.<=3.0000000,3.0000000<.SA.<=3.5000000,3.5000000<.SA.<=4.0000000,4.0000000<.SA.<=4.5000000,.SA.>4.5000000,0<.PA.<=0.5000000,0.5000000<.PA.<=1.0000000,1.0000000<.PA.<=1.5000000,1.5000000<.PA.<=2.0000000,2.0000000<.PA.<=2.5000000,2.5000000<.PA.<=3.0000000,3.0000000<.PA.<=3.5000000,3.5000000<.PA.<=4.0000000,4.0000000<.PA.<=4.5000000,.PA.>4.5000000,0<.V.<=0.5000000,0.5000000<.V.<=1.0000000,1.0000000<.V.<=1.5000000,1.5000000<.V.<=2.0000000,2.0000000<.V.<=2.5000000,2.5000000<.V.<=3.0000000,3.0000000<.V.<=3.5000000,3.5000000<.V.<=4.0000000,4.0000000<.V.<=4.5000000,.V.>4.5000000,0<.T.<=0.5000000,0.5000000<.T.<=1.0000000,1.0000000<.T.<=1.5000000,1.5000000<.T.<=2.0000000,2.0000000<.T.<=2.5000000,2.5000000<.T.<=3.0000000,3.0000000<.T.<=3.5000000,3.5000000<.T.<=4.0000000,4.0000000<.T.<=4.5000000,.T.>4.5000000
SampleId,COLOR,Name,,,,,,,,OwnerGroup,Specifications/NClass,Def Filt/Bg,Length(cm),ProjArea(cm2),SurfArea(cm2),AvgDiam(mm),Volume(cm3),Tips,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SampleId,LINK,Link#,,,,,,,,Seedling#,,Length(cm),ProjArea(cm2),SurfArea(cm2),AvgDiam(mm),EE-EI-II-IL-BL,Angle(deg),Magnitude,Altitude,Order,Father,Brother1,Brother2,Baby1,Baby2,Baby3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SampleId,DEV,Order#,,,,,,,,Seedling#,NofLinks,TotalLength(cm),TotalProjArea(cm2),TotSurfArea(cm2),AvgLength(cm),AvgProjArea(cm2),AvgSurfArea(cm2),AvgDiam(mm),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SampleId,AXIS,Order#,,,,,,,,Seedling#,Axis#,TotalLength(cm),TotalProjArea(cm2),TotSurfArea(cm2),AvgLength(cm),AvgProjArea(cm2),AvgSurfArea(cm2),AvgDiam(mm),,,,,,,,,NofLinks,FirstLink#,SecondLink#,ThirdLink#,...,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C4_3,km,7/25/22 19:14,1.644,,,,,,,ScannerOrCamera,EPSON EPSON Scan 2 EPSON Expression 12000XL 2.2 V6.2 6.2.2.13428 ,522.0833,17.9936,29.0149,0 0 2830 4574  0,MAG ANG DIAM LEN,Grey Intr cm 0.006358 0.006343 Scanner.Cal,GreyThdAutom-139,Smooth Off Area Off LWRatio Off,Off,3.14,1121.2046,0,62.2585,0,195.5908,0,0.5553,0,357.0715,0,2.715,,,2056,6147,717,,,,,,,,,0,,,,,,,,,,,10,0.0000000 0.5000000 1.0000000 1.5000000 2.0000000 2.5000000 3.0000000 3.5000000 4.0000000 4.5000000 ,743.2086,267.2892,70.1171,23.0087,10.2997,3.7592,1.1117,1.4837,0.6228,0.0815,56.1859,57.2764,26.6642,12.2826,7.2058,3.2149,1.055,1.6795,0.8067,0.1212,17.8845,18.2316,8.4875,3.9097,2.2937,1.0233,0.3358,0.5346,0.2568,0.0386,0.4141,1.019,0.8168,0.5259,0.4031,0.2193,0.0795,0.1512,0.0832,0.0144,1891,131,27,5,2,0,0,0,0,0
C2_1,km,7/25/22 19:19,1.252,,,,,,,ScannerOrCamera,EPSON EPSON Scan 2 EPSON Expression 12000XL 2.2 V6.2 6.2.2.13428 ,334.0999,14.8781,22.4558,400 750 2740 4290  0,MAG ANG DIAM LEN,Grey Intr cm 0.006358 0.006343 Scanner.Cal,GreyThdAutom-137,Smooth Off Area Off LWRatio Off,Off,3.14,1097.4623,0,64.5782,0,202.8784,0,0.5884,0,349.5103,0,2.985,,,3270,8910,745,,,,,,,,,0,,,,,,,,,,,10,0.0000000 0.5000000 1.0000000 1.5000000 2.0000000 2.5000000 3.0000000 3.5000000 4.0000000 4.5000000 ,717.3418,247.9979,73.2177,30.6572,12.8463,5.9169,4.7983,2.0789,1.1353,1.0196,51.5704,53.5281,28.0382,16.5812,8.9785,5.1498,4.7958,2.4255,1.4958,1.6463,16.4154,17.0385,8.9248,5.278,2.8579,1.6392,1.5266,0.7721,0.4761,0.524,0.3736,0.9589,0.8661,0.7191,0.5013,0.3578,0.3823,0.2256,0.1571,0.2127,3149,94,18,8,0,0,0,1,0,0
T2_4,km,7/25/22 19:22,0.793,,,,,,,ScannerOrCamera,EPSON EPSON Scan 2 EPSON Expression 12000XL 2.2 V6.2 6.2.2.13428 ,292.8758,14.9417,19.6012,190 480 2540 3570  0,MAG ANG DIAM LEN,Grey Intr cm 0.006358 0.006343 Scanner.Cal,GreyThdAutom-140,Smooth Off Area Off LWRatio Off,Off,3.14,903.7624,0,44.7563,0,140.6059,0,0.4952,0,287.8224,0,1.741,,,3006,6653,677,,,,,,,,,0,,,,,,,,,,,10,0.0000000 0.5000000 1.0000000 1.5000000 2.0000000 2.5000000 3.0000000 3.5000000 4.0000000 4.5000000 ,630.2112,203.5098,50.5873,11.787,4.6345,1.4893,0.7367,0.3468,0,0,45.8732,44.5261,18.699,6.295,3.2527,1.2887,0.7382,0.4068,0,0,14.6019,14.1731,5.9521,2.0037,1.0354,0.4102,0.235,0.1295,0,0,0.3309,0.8106,0.5572,0.2697,0.1824,0.089,0.059,0.038,0,0,2885,103,14,2,2,0,0,0,0,0
T3_4,km,7/25/22 19:24,1.579,,,,,,,ScannerOrCamera,EPSON EPSON Scan 2 EPSON Expression 12000XL 2.2 V6.2 6.2.2.13428 ,381.1439,15.8954,23.9782,240 420 2740 4200  0,MAG ANG DIAM LEN,Grey Intr cm 0.006358 0.006343 Scanner.Cal,GreyThdAutom-139,Smooth Off Area Off LWRatio Off,Off,3.14,1611.9861,0,86.7956,0,272.6763,0,0.5384,0,513.3714,0,3.67,,,4953,16400,1687,,,,,,,,,0,,,,,,,,,,,10,0.0000000 0.5000000 1.0000000 1.5000000 2.0000000 2.5000000 3.0000000 3.5000000 4.0000000 4.5000000 ,1090.4178,355.0694,98.6091,37.5282,17.0082,7.4824,2.4402,1.724,0.476,0.5794,74.4516,76.6935,37.1926,20.2465,11.9266,6.4833,2.4286,1.9942,0.6585,0.8646,23.6987,24.4123,11.8388,6.4447,3.7964,2.0637,0.7731,0.6348,0.2096,0.2752,0.5237,1.3748,1.1301,0.8756,0.6683,0.4483,0.1926,0.1838,0.0724,0.1031,4762,169,17,5,0,0,0,0,0,0
C4_2,km,7/25/22 19:26,0.569,,,,,,,ScannerOrCamera,EPSON EPSON Scan 2 EPSON Expression 12000XL 2.2 V6.2 6.2.2.13428 ,238.826,13.5429,17.6348,400 990 2530 3770  0,MAG ANG DIAM LEN,Grey Intr cm 0.006358 0.006343 Scanner.Cal,GreyThdAutom-140,Smooth Off Area Off LWRatio Off,Off,3.14,639.0824,0,30.8378,0,96.8797,0,0.4825,0,203.5294,0,1.169,,,1708,3946,487,,,,,,,,,0,,,,,,,,,,,10,0.0000000 0.5000000 1.0000000 1.5000000 2.0000000 2.5000000 3.0000000 3.5000000 4.0000000 4.5000000 ,468.9584,124.7144,30.5435,8.7155,3.4255,1.6143,0.3836,0.4405,0.0338,0,34.511,26.1666,11.7251,4.6715,2.3794,1.3591,0.3834,0.4973,0.0426,0,10.9852,8.3291,3.7322,1.487,0.7574,0.4326,0.122,0.1583,0.0136,0,0.2466,0.4548,0.3624,0.2007,0.132,0.0912,0.0305,0.0447,0.0043,0,1599,89,17,3,0,0,0,0,0,0
C3_3,km,7/25/22 19:28,1.324,,,,,,,ScannerOrCamera,EPSON EPSON Scan 2 EPSON Expression 12000XL 2.2 V6.2 6.2.2.13428 ,352.7699,16.2134,21.758,210 560 2760 3990  0,MAG ANG DIAM LEN,Grey Intr cm 0.006358 0.006343 Scanner.Cal,GreyThdAutom-139,Smooth Off Area Off LWRatio Off,Off,3.14,1536.8006,0,83.4614,0,262.2018,0,0.5431,0,489.4269,0,3.56,,,5259,14838,1429,,,,,,,,,0,,,,,,,,,,,10,0.0000000 0.5000000 1.0000000 1.5000000 2.0000000 2.5000000 3.0000000 3.5000000 4.0000000 4.5000000 ,1052.9297,308.4365,102.3924,44.8917,15.203,6.9451,3.1116,1.0875,0.1975,0.3763,68.9033,67.5272,38.7061,24.0825,10.6427,5.9749,3.1536,1.2822,0.2631,0.5955,21.9326,21.4946,12.3205,7.6657,3.3877,1.9019,1.0038,0.4081,0.0837,0.1896,0.4725,1.2283,1.1794,1.0355,0.5951,0.4102,0.2548,0.1204,0.028,0.0756,5083,158,14,4,0,0,0,0,0,0
