Unique_ID,Plot_ID,Type,Plot_#,Location,Efflux,Run_#,Soil_VWC,Soil_T,Date,Comments
C3_1_5_26,C3,Control,3,1,3.19,1,11,11.4,2022-05-26,
C3_1_5_26,C3,Control,3,1,3,2,11,11.4,2022-05-26,
C3_2_5_26,C3,Control,3,2,4.45,1,14,11.3,2022-05-26,
C3_2_5_26,C3,Control,3,2,4.01,2,14,11.3,2022-05-26,
C3_3_5_26,C3,Control,3,3,2.02,1,9,11.8,2022-05-26,
C3_3_5_26,C3,Control,3,3,1.86,2,9,11.8,2022-05-26,
C3_4_5_26,C3,Control,3,4,NA,1,11,NA,2022-05-26,
C3_4_5_26,C3,Control,3,4,3.73,2,11,11.2,2022-05-26,
C4_1_5_26,C4,Control,4,1,7.19,1,10,11.5,2022-05-26,
C4_1_5_26,C4,Control,4,1,6.37,2,10,11.5,2022-05-26,
C4_2_5_26,C4,Control,4,2,2.73,1,9,11.5,2022-05-26,
C4_2_5_26,C4,Control,4,2,2.62,2,9,11.5,2022-05-26,
C4_3_5_26,C4,Control,4,3,4.3,1,9,11,2022-05-26,
C4_3_5_26,C4,Control,4,3,3.89,2,9,11,2022-05-26,
C4_4_5_26,C4,Control,4,4,5.21,1,16,11.1,2022-05-26,
C4_4_5_26,C4,Control,4,4,4.77,2,16,11.1,2022-05-26,
T4_1_5_26,T4,Treatment,4,1,3.52,1,17,11.3,2022-05-26,
T4_1_5_26,T4,Treatment,4,1,3.5,2,17,11.3,2022-05-26,
T4_2_5_26,T4,Treatment,4,2,NA,1,17,11.2,2022-05-26,
T4_2_5_26,T4,Treatment,4,2,3.34,2,17,11.2,2022-05-26,
T4_3_5_26,T4,Treatment,4,3,3.65,1,12,11.3,2022-05-26,
T4_3_5_26,T4,Treatment,4,3,3.16,2,12,11.3,2022-05-26,
T4_4_5_26,T4,Treatment,4,4,4.24,1,17,11.4,2022-05-26,
T4_4_5_26,T4,Treatment,4,4,3.72,2,17,11.4,2022-05-26,
T3_1_5_26,T3,Treatment,3,1,5.41,1,14,11,2022-05-26,
T3_1_5_26,T3,Treatment,3,1,4.75,2,14,11,2022-05-26,
T3_2_5_26,T3,Treatment,3,2,4.73,1,15,11.1,2022-05-26,
T3_2_5_26,T3,Treatment,3,2,4.37,2,15,11.1,2022-05-26,
T3_3_5_26,T3,Treatment,3,3,5.34,1,14,11.5,2022-05-26,
T3_3_5_26,T3,Treatment,3,3,4.81,2,14,11.5,2022-05-26,
T3_4_5_26,T3,Treatment,3,4,4.01,1,14,11.5,2022-05-26,
T3_4_5_26,T3,Treatment,3,4,3.66,2,14,11.5,2022-05-26,
T2_1_5_26,T2,Treatment,2,1,6.16,1,10,11.2,2022-05-26,
T2_1_5_26,T2,Treatment,2,1,5.6,2,10,11.2,2022-05-26,
T2_2_5_26,T2,Treatment,2,2,3.68,1,17,11,2022-05-26,
T2_2_5_26,T2,Treatment,2,2,3.3,2,17,11,2022-05-26,
T2_3_5_26,T2,Treatment,2,3,3.69,1,11,11.3,2022-05-26,
